state,pv_dc_median_kw,package,battery_kwh,price_base,battery_rebate,price_net,annual_savings_uplift,payback_years_net
ACT,10.92,A' 入门,9.6,12199.199999999999,0.0,12199.199999999999,1345.344,9.067717996289424
ACT,10.92,B' 均衡,13.5,16594.5,2000.0,14594.5,1345.344,10.848154821369107
ACT,10.92,C' 高配,20.0,23919.999999999996,2000.0,21919.999999999996,1345.344,16.29323057894486
NSW,9.24,A' 入门,9.6,12199.199999999999,0.0,12199.199999999999,1241.8559999999998,9.823361162646878
NSW,9.24,B' 均衡,13.5,16594.5,1200.0,15394.5,1241.8559999999998,12.39636479591837
NSW,9.24,C' 高配,20.0,23919.999999999996,1200.0,22719.999999999996,1241.8559999999998,18.29519686662544
NT,14.96,A' 入门,9.6,12199.199999999999,0.0,12199.199999999999,2543.2,4.7967914438502675
NT,14.96,B' 均衡,13.5,16594.5,1500.0,15094.5,2543.2,5.935239068889588
NT,14.96,C' 高配,20.0,23919.999999999996,1500.0,22419.999999999996,2543.2,8.815665303554576
QLD,9.68,A' 入门,9.6,12199.199999999999,0.0,12199.199999999999,1335.84,9.132231404958677
QLD,9.68,B' 均衡,13.5,16594.5,1000.0,15594.5,1335.84,11.673928015331178
QLD,9.68,C' 高配,20.0,23919.999999999996,1000.0,22919.999999999996,1335.84,17.15774344232842
SA,8.36,A' 入门,9.6,12199.199999999999,0.0,12199.199999999999,1203.8400000000001,10.133572567783093
SA,8.36,B' 均衡,13.5,16594.5,2000.0,14594.5,1203.8400000000001,12.123288809144071
SA,8.36,C' 高配,20.0,23919.999999999996,2000.0,21919.999999999996,1203.8400000000001,18.20839978734715
TAS,7.92,A' 入门,9.6,12199.199999999999,0.0,12199.199999999999,798.3359999999998,15.280784030784034
TAS,7.92,B' 均衡,13.5,16594.5,1500.0,15094.5,798.3359999999998,18.907452501202506
TAS,7.92,C' 高配,20.0,23919.999999999996,1500.0,22419.999999999996,798.3359999999998,28.08341350008017
VIC,6.64,A' 入门,9.6,12199.199999999999,2400.0,9799.199999999999,725.0880000000002,13.514497550642124
VIC,6.64,B' 均衡,13.5,16594.5,2950.0,13644.5,725.0880000000002,18.817715918619527
VIC,6.64,C' 高配,20.0,23919.999999999996,2950.0,20969.999999999996,725.0880000000002,28.920627565205866
WA,6.6,A' 入门,9.6,12199.199999999999,0.0,12199.199999999999,1013.7599999999995,12.03361742424243
WA,6.6,B' 均衡,13.5,16594.5,1000.0,15594.5,1013.7599999999995,15.38283222853536
WA,6.6,C' 高配,20.0,23919.999999999996,1000.0,22919.999999999996,1013.7599999999995,22.608901515151523
